Base Filename;Object;Cinematic Enhancement;Camera Setting and Composition;Subject Refinement;Motion Description
runner1;runner;Day time, Sunny lighting, Hard lighting, Side lighting;Medium wide shot, Low angle shot, Center composition, Tracking camera;A young athletic runner wearing a breathable tank top and shorts, sweat glistening on skin, running on a concrete sidewalk lined with green hedges.;The runner maintains a rhythmic pace, driving elbows back with large arm swings while legs extend fully in long, bounding strides, feet striking the pavement firmly.
runner2;runner;Day time, Sunny lighting, Hard lighting;Side View, Full body view, Low angle shot, Extreme wide shot, zoomed out, Center composition, Tracking camera;A young athletic runner with short hair wearing a breathable tank top and shorts, sweat glistening on skin, running on a concrete sidewalk with green hedges in the background;The runner maintains a rhythmic pace, driving elbows back with large arm swings while legs extend fully in long, bounding strides, feet striking the pavement firmly.
gymnast;gymnast;Indoor lighting, Artificial lighting, Soft lighting;Wide shot, Side view, Center composition;A female gymnast in a sleek leotard, hair tied back tight, standing on a blue gym mat with chalk dust on her hands.;The gymnast lunges forward, plants hands firmly on the mat, kicks legs over in a vertical arc with toes pointed, and lands upright on the opposite side.
orca;orca;Day time, Underwater lighting, Cool colors, Side lighting;Wide shot, Side view, Balanced composition, Tracking camera;A large black and white orca with smooth skin, swimming amidst suspended particles in the deep blue ocean.;The orca's massive tail fluke oscillates up and down rhythmically, propelling the body forward in a smooth, hydrodynamic glide through the water.
dancing_couple;dancing couple;Night time, Practical lighting (Lamps), Warm colors, Soft lighting;Medium wide shot, Balanced composition, Slow rotation;An elderly couple, the man in a vest and the woman in a floral dress, holding each other in a furnished living room with wooden floors.;They move in a box step pattern, stepping forward and side, spinning slowly in unison while maintaining a stiff upper body frame and holding hands.
owl;owl;Night time, Moonlight, Hard lighting, Edge lighting;Wide shot, Low angle shot, Center composition, Tracking camera;A great horned owl with patterned feathers and yellow eyes perched on a mossy stump, surrounded by dark forest trees.;The owl crouches slightly, spreads its wide wings, and pushes off the stump with its talons, flapping downward to ascend into the air.
horse;horse;Day time, Sunny lighting, Warm colors, Backlighting;Wide shot, Side view, Low angle shot, Tracking camera;A brown horse with a flowing black mane and tail, galloping on a dirt road flanked by tall golden grass.;The horse extends its legs fully in a suspension phase, hooves striking the dust rhythmically, head bobbing slightly with the momentum.
elephant1;elephant;Day time, Sunny lighting, Hard lighting, Top lighting;Extreme wide shot, Low angle shot, Center composition, Tracking camera;A massive African elephant with large tusks and wrinkled grey skin walking through dry savanna grass and acacia trees.;The elephant takes slow, heavy steps, lifting each large foot and placing it down deliberately, while its trunk sways gently and ears flap.
elephant2;elephant;Day time, Sunny lighting, High contrast, Side lighting;Extreme wide shot, Low angle shot, Center composition;An African elephant standing in a river, its trunk glistening with wetness, water droplets visible in the air.;The elephant curls its trunk upward and exhales a powerful spray of water, creating a mist that showers over its back and head.
lioness;lioness;Dawn time, Soft lighting, Warm colors, Low angle;Medium wide shot, Side view, Low angle shot, Center composition, Tracking camera;A lioness with tawny fur and focused amber eyes, body low to the ground, moving through tall yellow grass.;The lioness moves one paw forward with extreme slowness, freezing mid-step before placing it silently, shoulder blades shifting under the skin.
peacock;peacock;Day time, Sunny lighting, High contrast, Front lighting;Wide shot, Front view, Symmetrical composition;A male peacock standing on a manicured lawn, the feathers currently trailing behind him.;The peacock shakes its body vigorously, causing the long tail feathers to rattle, then abruptly fans them out into a massive, shimmering arch of iridescent green and blue eyespots.
cat;cat;Day time, Sunny lighting, Warm colors, Side lighting;Medium shot, Low angle shot, Center composition;A fluffy ginger cat stretching on a wooden floor bathed in a sunbeam.;The cat arches its back high, extending its front paws forward with claws unsheathed, then lowers its chest to the floor while yawning, stretching its entire body into a long curve.
octopus;octopus;Day time, Underwater lighting, Mixed colors, Soft lighting;Medium shot, Front view, Center composition;A red octopus clinging to a rock formation in a shallow reef.;The octopus uncurls two of its tentacles, the suction cups rippling, and reaches out to explore a nearby crevice, pulling its soft body forward in a liquid, shapeshifting movement.
hermit_crab;hermit crab;Day time, Sunny lighting, Warm colors, Macro;Extreme close-up shot, Top view, Center composition;A hermit crab with a spiral seashell on its back moving across wet sand.;The crab pokes its eyestalks and claws out of the shell, then uses its legs to heave the heavy shell forward in a rhythmic, lurching motion, leaving drag marks in the sand.
calico_cat;calico cat;Day time, Sunny lighting, Warm colors, Side lighting;Wide shot, Low angle shot, Left-heavy composition, Tracking camera;A sleek calico cat with distinct orange, black, and white patches, balancing on a brick wall in a garden.;The cat moves with deliberate precision, placing one paw directly in front of the other in a tightrope-style gait, while its tail sways gently side-to-side to adjust its balance on the thin ledge.
chameleon;chameleon;Day time, Filtered daylight, Green tones, Soft lighting;Extreme wide shot, Eye-level, Side view, Tracking camera, Eye-level, Side view, Tracking camera;A vibrant green chameleon with textured, scaly skin and a curled tail climbing a thin tree branch.;The chameleon moves with a hesitant, rocking gait, pausing mid-step to vibrate slightly before planting its clamp-like foot, while its turret-like eye rotates independently to look backward.
satellite;satellite;Space, Sunlight, Hard lighting, Cool colors;Extreme wide shot, Balanced composition;A metallic satellite with gold foil insulation and extended solar panels, contrasted against the deep black void of space.;The satellite rotates slowly on its axis, the sunlight gliding across the reflective surfaces and changing the shadows on the solar panels.
jellyfish;jellyfish;Underwater, Filtered daylight, Cool colors, Soft lighting;Medium shot, Side view, Center composition, Tracking camera;A translucent moon jellyfish with a glowing bell and long, thin trailing tentacles drifting horizontally in deep blue water.;The bell contracts inward rapidly to push water out, propelling the jellyfish forward in a burst, then relaxes as it drifts before the next pulse.
figure_skater;figure skater;Artificial lighting, Spot lighting, Cool colors, Hard lighting;Wide shot, Balanced composition, Tracking camera, unobstructed view;A figure skater in a shimmering dress and white skates, gliding across a smooth, scratched ice surface.;The skater holds a static pose with one leg extended back and arms out for balance, sliding smoothly across the ice without moving her feet.
chinese_dragon;chinese dragon;Night time, Moonlight, Cool colors, Edge lighting;Extreme wide shot, Aerial shot, Center composition, Tracking camera;A long, serpentine, Chinese dragon with detailed scales and a flowing mane and whiskers, flying against a backdrop of dense stars and clouds.;The dragon's body undulates in a sine-wave motion, whiskers trailing in the wind, claws grasping the air as it weaves through the night sky.
rock_drummer;rock drummer;Night time, Artificial lighting, High contrast, Spot lighting;Medium wide shot, Front view, Center composition;A young, muscular rock drummer with long hair and no shirt playing a drum kit on a dark stage. His hair is flying as strikes the drums;The drummer strikes the snare and cymbals violently with wooden sticks, hair flying with every headbang.
